
 		"DOTA_ChallengeDesc_Abaddon_"				Debuff enemy Heroes with Curse of Avernus for <font color='#ffffff'>%s1</font> seconds.
		
		"DOTA_ChallengeDesc_Alchemist_"				Debuff enemy Heroes with Corrosive Weaponry for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Alchemist_"				Debuff multiple enemy Heroes with Acid Spray <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Alchemist_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Unstable Concoction.
		
		"DOTA_ChallengeDesc_AncientApparition_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Chilling Touch.
		
		"DOTA_ChallengeDesc_AntiMage_"				Burn  <font color='#ffffff'>%s1</font> mana from enemy Heroes with Mana Break.
		"DOTA_ChallengeDesc_AntiMage_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Mana Void.
		"DOTA_ChallengeDesc_AntiMage_"				Disjoint enemy abilities with Blink <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_AntiMage_"				
		
		"DOTA_ChallengeDesc_ArcWarden_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Flux.
		
		"DOTA_ChallengeDesc_Axe_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Counter Helix.
		"DOTA_ChallengeDesc_Axe_"					Kill <font color='#ffffff'>%s1</font> enemy creeps with Counter Helix.
		
		"DOTA_ChallengeDesc_Bane_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Brain Sap.
		"DOTA_ChallengeDesc_Bane_"					Debuff enemy Heroes with Enfeeble for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Bane_"					Heal <font color='#ffffff'>%s1</font> health with Brain Sap.
		
		"DOTA_ChallengeDesc_Batrider_"				Debuff enemy Heroes with Sticky Napalm for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Batrider_"				Hit multiple enemy Heroes with Flamebrake <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_BeastMaster_"			Hit multiple enemy Hereos with Primal Roar <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_BeastMaster_"			Hit multiple enemy Heroes with Wild Axes <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Bloodseeker_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Bloodrage.
		"DOTA_ChallengeDesc_Bloodseeker_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Rupture.
		
		"DOTA_ChallengeDesc_BountyHunter_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Jinada.
		"DOTA_ChallengeDesc_BountyHunter_"			Steal <font color='#ffffff'>%s1</font> gold from enemy Heroes.
		
		"DOTA_ChallengeDesc_Brewmaster_"			Hit multiple enemy Heroes with Thunder Clap <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Bristleback_"			Buff yourself with Warpath for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Bristleback_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Viscous Nasal Goo.
		"DOTA_ChallengeDesc_Bristleback_"			Prevent <font color='#ffffff'>%s1</font> damage from enemy Hereos with Bristleback.
		
		"DOTA_ChallengeDesc_Broodmother_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Incapacitating Bite.
		"DOTA_ChallengeDesc_Broodmother_"			Kill <font color='#ffffff'>%s1</font> enemy creeps with spiderlings.
		"DOTA_ChallengeDesc_Broodmother_"			Summon <font color='#ffffff'>%s1</font> spiderlings with Spawn Spiderlings.
		
		"DOTA_ChallengeDesc_CentaurWarrunner_"		Deal <font color='#ffffff'>%s1</font> damage to enemy buildings with Return.
		"DOTA_ChallengeDesc_CentaurWarrunner_"		Hit multiple enemy Heroes with Hoof Stomp <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_ChaosKnight_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Chaos Bolt.
		"DOTA_ChallengeDesc_ChaosKnight_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Chaos Strike.
		"DOTA_ChallengeDesc_ChaosKnight_"			Heal <font color='#ffffff'>%s1</font> health with Chaos Strike.
		"DOTA_ChallengeDesc_ChaosKnight_"			Hit enemy Heroes with Chaos Bolt <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Chen_"					Buff allied Heroes with Divine Favor for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Chen_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Penitence.
		"DOTA_ChallengeDesc_Chen_"					Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Hand of God.
		
		"DOTA_ChallengeDesc_Clinkz_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while you are affected by Strafe.
		
		"DOTA_ChallengeDesc_Clockwerk_"				Hit multiple enemy Heroes with Rocket Flare <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_CrystalMaiden_"			Hit multiple enemy Heroes with Crystal Nova <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_DarkSeer_"
		
		"DOTA_ChallengeDesc_DarkWillow_"			Deal <font color='#ffffff'>%s1</font> damage to enemy that are affected by Cursed Crown.
		"DOTA_ChallengeDesc_DarkWillow_"			Deal <font color='#ffffff'>%s1</font> damage to enemy with Shadow Realm.
		
		"DOTA_ChallengeDesc_Dawnbreaker_"			Hit multiple enemy Heroes with Celestial Hammer <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Dazzle_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Nothl Projection.
		"DOTA_ChallengeDesc_Dazzle_"				Debuff enemy Heroes with Poison Touch for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Dazzle_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Poison Touch.
		"DOTA_ChallengeDesc_Dazzle_"				Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Shadow Wave.
		
		"DOTA_ChallengeDesc_DeathProphet_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Crypt Swarm.
		"DOTA_ChallengeDesc_DeathProphet_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Exorcism.
		"DOTA_ChallengeDesc_DeathProphet_"			Hit multiple enemy Heroes with Crypt Swarm <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Disruptor_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Static Storm.
		"DOTA_ChallengeDesc_Disruptor_"				Hit multiple enemy Heroes with Static Storm <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Doom_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Doom.
		"DOTA_ChallengeDesc_Doom_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Infernal Blade.
		
